tech_area,sample_id,sample_name,description,inj_vol,file_name_template
Proteomics,default,"",Default settings for user samples,2.0,{date}_{run}_C{container}_S{sample_id}_{sample_name}
Proteomics,QC01,autoQC01,autoQC01: Standard peptide mix for system suitability,2.0,{date}_{run}_C{container}_autoQC01
Proteomics,QC03,autoQC03,autoQC03: Benchmark for performance monitoring,1.0,{date}_{run}_C{container}_autoQC03
Proteomics,clean,clean,Buffer blank for column cleaning between sample batches,2.0,{date}_{run}_C{container}_clean
Metabolomics,default,"",Default settings for user samples,3.5,{date}_{run}_C{container}_S{sample_id}_{sample_name}_{polarity}
Metabolomics,blank,blank,Solvent blank for carryover assessment,3.5,{date}_{run}_C{container}_blank_{polarity}
Metabolomics,pooledQC,pooledQC,Pooled sample QC for batch correction,3.5,{date}_{run}_C{container}_pooledQC_{polarity}
Metabolomics,pooledQCDil1,pooledQCDil1,Pooled QC dilution 1 (highest concentration),3.5,{date}_{run}_C{container}_pooledQCDil1_{polarity}
Metabolomics,pooledQCDil2,pooledQCDil2,Pooled QC dilution 2,3.5,{date}_{run}_C{container}_pooledQCDil2_{polarity}
Metabolomics,pooledQCDil3,pooledQCDil3,Pooled QC dilution 3,3.5,{date}_{run}_C{container}_pooledQCDil3_{polarity}
Metabolomics,pooledQCDil4,pooledQCDil4,Pooled QC dilution 4,3.5,{date}_{run}_C{container}_pooledQCDil4_{polarity}
Metabolomics,pooledQCDil5,pooledQCDil5,Pooled QC dilution 5,3.5,{date}_{run}_C{container}_pooledQCDil5_{polarity}
Metabolomics,pooledQCDil6,pooledQCDil6,Pooled QC dilution 6 (lowest concentration),3.5,{date}_{run}_C{container}_pooledQCDil6_{polarity}
Metabolomics,108mix_AA,108mix_AA,108mix_AA: Amino acid mix standard,3.5,{date}_{run}_C{container}_108mix_AA_{polarity}
Metabolomics,108mix_OAP,108mix_OAP,108mix_OAP: Organic acid/phosphate mix standard,3.5,{date}_{run}_C{container}_108mix_OAP_{polarity}
Lipidomics,default,"",Default settings for user samples,3.5,{date}_{run}_C{container}_S{sample_id}_{sample_name}_{polarity}
Lipidomics,blank,blank,Solvent blank for carryover assessment,3.5,{date}_{run}_C{container}_blank_{polarity}
Lipidomics,pooledQC,pooledQC,Pooled sample QC for batch correction,3.5,{date}_{run}_C{container}_pooledQC_{polarity}
Lipidomics,pooledQCDil1,pooledQCDil1,Pooled QC dilution 1 (highest concentration),3.5,{date}_{run}_C{container}_pooledQCDil1_{polarity}
Lipidomics,pooledQCDil2,pooledQCDil2,Pooled QC dilution 2,3.5,{date}_{run}_C{container}_pooledQCDil2_{polarity}
Lipidomics,pooledQCDil3,pooledQCDil3,Pooled QC dilution 3,3.5,{date}_{run}_C{container}_pooledQCDil3_{polarity}
Lipidomics,pooledQCDil4,pooledQCDil4,Pooled QC dilution 4,3.5,{date}_{run}_C{container}_pooledQCDil4_{polarity}
Lipidomics,pooledQCDil5,pooledQCDil5,Pooled QC dilution 5,3.5,{date}_{run}_C{container}_pooledQCDil5_{polarity}
Lipidomics,pooledQCDil6,pooledQCDil6,Pooled QC dilution 6 (lowest concentration),3.5,{date}_{run}_C{container}_pooledQCDil6_{polarity}
Lipidomics,EquiSPLASH,EquiSPLASH,EquiSPLASH: Lipidomics internal standard mix (Avanti),3.5,{date}_{run}_C{container}_EquiSPLASH_{polarity}
Lipidomics,NIST_Lipids,NIST_Lipids,NIST: Reference Plasma Lipidomics,3.5,{date}_{run}_C{container}_NIST_Lipids_{polarity}
Testing,default,"",Default settings for test samples,2.0,{date}_{run}_C{container}_S{sample_id}_{sample_name}
Testing,QC01,testQC01,testQC01: QC sample with DDA only,2.0,{date}_{run}_C{container}_testQC01
Testing,QC03,testQC03,testQC03: QC sample for performance monitoring,1.0,{date}_{run}_C{container}_testQC03
Testing,QC04,testQC04,testQC04: QC sample with DIA only,2.0,{date}_{run}_C{container}_testQC04
Testing,clean,clean,Buffer blank for column cleaning,2.0,{date}_{run}_C{container}_clean
