tech_area,instrument,sampler,output_format,default_pattern
Proteomics,ASTRAL_1,Vanquish,xcalibur,standard
Proteomics,ASTRAL_1,Evosep,chronos,evosep_qc
Proteomics,ASCEND_1,MClass,xcalibur_sii,standard
Proteomics,EXPLORIS_1,Evosep,chronos,evosep_qc
Proteomics,EXPLORIS_1,MClass,xcalibur,standard
Proteomics,EXPLORIS_2,Evosep,chronos,evosep_qc
Proteomics,EXPLORIS_2,MClass,xcalibur,standard
Proteomics,EXPLORIS_5,Vanquish,xcalibur,standard
Proteomics,LUMOS_2,MClass,xcalibur,standard
Proteomics,QEXACTIVE_1,MClass,xcalibur,standard
Proteomics,TIMSTOF_1,Evosep,hystar,evosep_qc
Proteomics,TIMSTOFFLEX_1,Evosep,hystar,evosep_qc
Metabolomics,EXPLORIS_3,Vanquish,xcalibur,standard
Metabolomics,QEXACTIVEHF_2,Vanquish,xcalibur,standard
Metabolomics,QUANTIVA_1,Vanquish,xcalibur,simple
Lipidomics,EXPLORIS_3,Vanquish,xcalibur,standard
Lipidomics,EXPLORIS_4,Vanquish,xcalibur,standard
